,siren,in pipe ?
0,error,92889
1,317780153,61515
2,775685340,61577
3,340709534,51266
4,340359900,55130
5,533539797,55629
6,311248637,87174
7,311248637,87174
8,321502049,87753
9,783864150,65612
10,442294856,42217
11,311799878,44280
12,311248637,87174
13,464201243,23362
14,333158723,65331
15,error,88877
16,532661832,64452
17,311799878,44280
18,error,92889
19,775671894,93539
20,532661832,64452
21,421108697,88102
22,532661832,64452
23,341737062,47288
24,457504694,50269
25,433240991,87030
26,444269682,87760
27,error,88877
28,393225214,51245
29,775671894,93539
30,814036802,61212
