,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,siren,in pipe ?,web,ban,linke
0,0,0,0,AFER,830237988,Not in Pipe,https://www.afer.fr/,False,https://fr.linkedin.com/company/afer-asso
1,1,1,1,CARTE BLANCHE PARTENAIRES,379301518,Not in Pipe,http://www.carteblanchepartenaires.fr/,False,https://fr.linkedin.com/company/carteblanchepartenaires
2,2,2,2,BOUYGUES CONSTRUCTION,552045999,In Pipe,https://www.bouygues-construction.com/,False,https://fr.linkedin.com/company/bouygues-construction
3,3,3,3,SCOR,799142773,Not in Pipe,https://www.scor.com/fr/conditions-mentions-legales,False,https://fr.linkedin.com/company/scor
4,4,4,4,SOLUCIA PROTECTION JURIDIQUE,481997708,Not in Pipe,https://soluciapj.fr/,False,https://fr.linkedin.com/company/solucia-protection-juridique
5,5,5,5,CBP FRANCE,431402155,Not in Pipe,https://www.cbp-group.com/,False,https://fr.linkedin.com/company/cbpfrance
6,6,6,6,GROUPE MACIF,334062288,Not in Pipe,https://www.macif.fr/assurance/le-groupe-macif,False,https://www.linkedin.com/company/groupemacif
7,7,7,7,AVIVA FRANCE,384634234,Not in Pipe,https://www.aviva.fr/espaceclient/MonCompte/Inscription/Recherche,False,https://fr.linkedin.com/company/aviva-plc
8,8,8,8,CARAC MUTUELLE D'EPARGNE ET DE RETRAITE,326592268,Not in Pipe,https://www.carac.fr/,False,https://fr.linkedin.com/company/mutuelle-epargne-retraite-prevoyance-carac
9,9,9,9,GROUPE BURRUS,843961129,Not in Pipe,https://salpa.fr/le-groupe/,False,https://fr.linkedin.com/company/groupe-burrus
10,10,10,10,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False,https://fr.linkedin.com/company/mgen
11,11,11,11,LA MUTUELLE GENERALE,775685340,In Pipe,https://www.lamutuellegenerale.fr/,False,https://fr.linkedin.com/company/la-mutuelle-g-n-rale
12,12,12,12,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False,https://fr.linkedin.com/company/mgen
13,13,13,13,SOFAXIS,389430265,Not in Pipe,https://www.sofaxis.com/,False,https://www.linkedin.com/company/sofaxis
14,14,14,14,CREDIT AGRICOLE ASSURANCES,451751564,Not in Pipe,https://www.credit-agricole.fr/,False,https://fr.linkedin.com/company/credit-agricole-assurances
15,15,15,15,JOUVE,842337867,Not in Pipe,https://www.jouve.com/,False,https://fr.linkedin.com/company/jouve-fr
16,16,16,16,MAE MUTUELLE ASSURANCE EDUCATION,380533612,Not in Pipe,http://www.mae.fr/,False,https://fr.linkedin.com/company/mutuelle-assurance-de-l%27education
17,17,17,17,MONDIAL ASSISTANCE FRANCE,351431937,Not in Pipe,https://assistance-sinistre.fr/mondial-assistance/,False,https://fr.linkedin.com/company/mondial-assistance-s.a.s.
18,18,18,18,GROUPE RELYENS,812594489,Not in Pipe,https://www.relyens.eu/fr,False,https://www.linkedin.com/company/relyens
19,19,19,19,RMA - RESSOURCES MUTUELLES ASSISTANCE,444269682,In Pipe,http://www.ressources-mutuelles-assistance.fr/,False,https://www.linkedin.com/company/rma-ressources-mutuelles-assistance
20,20,20,20,SAINT-CHRISTOPHE ASSURANCES,555850411,Not in Pipe,https://www.saint-christophe-assurances.fr/,False,https://fr.linkedin.com/company/saint-christophe-assurances
21,21,21,21,MAAF,881766844,Not in Pipe,https://www.maaf.fr/fr/assurance,False,https://www.linkedin.com/company/maaf
22,22,22,22,PRO BTP GROUPE,880245311,Not in Pipe,erreur,False,https://fr.linkedin.com/company/pro-btp-groupe
23,23,23,23,HDI GLOBAL SE,478913882,Not in Pipe,https://www.hdi.global/fr/fr/about-us/about-us,False,https://fr.linkedin.com/company/hdiglobal-se
24,24,24,24,MARFRET,340915198,Not in Pipe,https://www.marfret.fr/,False,https://fr.linkedin.com/company/marfret
25,25,25,25,MMA ASSURANCES,555850411,Not in Pipe,https://www.mma.fr/,False,https://fr.linkedin.com/company/mma-insurance
