,Unnamed: 0,Unnamed: 0.1,name,siren,in pipe ?,web,ban
0,0,0,AFER,830237988,Not in Pipe,https://www.afer.fr/,False
1,1,1,CARTE BLANCHE PARTENAIRES,379301518,Not in Pipe,http://www.carteblanchepartenaires.fr/,False
2,2,2,BOUYGUES CONSTRUCTION,552045999,In Pipe,https://www.bouygues-construction.com/,False
3,3,3,SCOR,799142773,Not in Pipe,https://www.scor.com/fr/conditions-mentions-legales,False
4,4,4,SOLUCIA PROTECTION JURIDIQUE,481997708,Not in Pipe,https://soluciapj.fr/,False
5,5,5,CBP FRANCE,431402155,Not in Pipe,https://www.cbp-group.com/,False
6,6,6,GROUPE MACIF,334062288,Not in Pipe,https://www.macif.fr/assurance/le-groupe-macif,False
7,7,7,AVIVA FRANCE,384634234,Not in Pipe,https://www.aviva.fr/espaceclient/MonCompte/Inscription/Recherche,False
8,8,8,CARAC MUTUELLE D'EPARGNE ET DE RETRAITE,326592268,Not in Pipe,https://www.carac.fr/,False
9,9,9,GROUPE BURRUS,843961129,Not in Pipe,https://salpa.fr/le-groupe/,False
10,10,10,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False
11,11,11,LA MUTUELLE GENERALE,775685340,In Pipe,https://www.lamutuellegenerale.fr/,False
12,12,12,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False
13,13,13,SOFAXIS,389430265,Not in Pipe,https://www.sofaxis.com/,False
14,14,14,CREDIT AGRICOLE ASSURANCES,451751564,Not in Pipe,https://www.credit-agricole.fr/,False
15,15,15,JOUVE,842337867,Not in Pipe,https://www.jouve.com/,False
16,16,16,MAE MUTUELLE ASSURANCE EDUCATION,380533612,Not in Pipe,http://www.mae.fr/,False
17,17,17,MONDIAL ASSISTANCE FRANCE,351431937,Not in Pipe,https://assistance-sinistre.fr/mondial-assistance/,False
18,18,18,GROUPE RELYENS,812594489,Not in Pipe,https://www.relyens.eu/fr,False
19,19,19,RMA - RESSOURCES MUTUELLES ASSISTANCE,444269682,In Pipe,http://www.ressources-mutuelles-assistance.fr/,False
20,20,20,SAINT-CHRISTOPHE ASSURANCES,555850411,Not in Pipe,https://www.saint-christophe-assurances.fr/,False
21,21,21,MAAF,881766844,Not in Pipe,https://www.maaf.fr/fr/assurance,False
22,22,22,PRO BTP GROUPE,880245311,Not in Pipe,erreur,False
23,23,23,HDI GLOBAL SE,478913882,Not in Pipe,https://www.hdi.global/fr/fr/about-us/about-us,False
24,24,24,MARFRET,340915198,Not in Pipe,https://www.marfret.fr/,False
25,25,25,MMA ASSURANCES,555850411,Not in Pipe,https://www.mma.fr/,False
26,26,26,SOLUCIA PROTECTION JURIDIQUE,481997708,Not in Pipe,https://soluciapj.fr/,False
27,27,27,GIE AFER,809128028,Not in Pipe,https://www.afer.fr/afer/partenaires/gie-afer/,False
28,28,28,FIGEAS SA,790580146,Not in Pipe,https://fr.kompass.com/c/figeas-sa/ch161290/,True
29,29,29,IDEMIA,340709534,In Pipe,https://www.idemia.com/fr,False
30,30,30,ELEX,882638117,Not in Pipe,https://www.elex.fr/,False
31,31,31,MUTUELLE ENTRAIN,775558778,Not in Pipe,https://www.mutuelle-entrain.fr/,False
