,name,linke
0,FIVES NORDON,https://be.linkedin.com/company/fives-nordon
1,DECAYEUXSTI,https://fr.linkedin.com/company/decayeuxsti
2,BCF INDUSTRIES,https://fr.linkedin.com/company/bcf-industries
3,JENOPTIK,https://www.linkedin.com/company/jenoptik
4,CLEIA,https://fr.linkedin.com/company/cleia
5,MERCIER ENGRENAGES,https://fr.linkedin.com/company/mercier-engrenages
6,ECOFIT,https://fr.linkedin.com/company/ecofit
7,TECMA ARIES,https://fr.linkedin.com/company/tecma-group
8,TECMA ARIES,https://fr.linkedin.com/company/tecma-group
9,CHOQUENET SAS,https://fr.linkedin.com/company/choquenet-sas
10,CRM MÉCA,https://www.linkedin.com/company/crm-meca
11,ALPHITAN GROUP,https://fr.linkedin.com/company/alphitan-group
12,DEVISMES,https://fr.linkedin.com/company/devismes
13,GILLOUAYE SAS,https://www.linkedin.com/company/gillouaye-sas
14,LA PRECISION SCIONZIER,https://fr.linkedin.com/company/laprecisionindustry
15,CHAPLAIN,https://www.linkedin.com/company/chaplain-groupe
16,CERATEC,https://be.linkedin.com/company/ceratec
17,SKIOLD ACEMO,https://fr.linkedin.com/company/acemo
18,VERNET GROUP,https://www.linkedin.com/company/vernetgroup
19,SANDEN MANUFACTURING EUROPE,https://www.linkedin.com/company/sanden-manufacturing-europe
20,BAUMERT,https://fr.linkedin.com/company/baumert
21,EAMS INDUSTRIE - 29000 -  QUIMPER,https://www.linkedin.com/company/eams-industrie-29
22,MECALECTRO,https://www.linkedin.com/company/m%C3%A9calectro
23,TAMA AERNOVA FRANCE,https://fr.linkedin.com/company/tama-aernova-france
24,NEXTER SYSTEMS,https://fr.linkedin.com/company/nexter-systems
25,NEXTER,https://fr.linkedin.com/company/nexter-systems
26,ALSTEF GROUP,https://fr.linkedin.com/company/alstefgroup
27,ECHAME,https://fr.linkedin.com/company/echame
28,GUÉRY,https://fr.linkedin.com/company/gu%C3%A9ry
29,BOUVERAT-PERNAT,https://fr.linkedin.com/company/bouverat-pernat
30,FROMFROID,https://fr.linkedin.com/company/fromfroid
31,CNIM,https://fr.linkedin.com/company/cnim
32,CNIM,https://fr.linkedin.com/company/cnim
33,CNIM,https://fr.linkedin.com/company/cnim
34,CNIM,https://fr.linkedin.com/company/cnim
35,CNIM,https://fr.linkedin.com/company/cnim
36,LANSON  INTERNATIONAL DIFFUSION,https://fr.linkedin.com/company/lanson-international
37,MICRO RECTIF,https://fr.linkedin.com/company/micro-rectif
38,USINALP,https://www.linkedin.com/company/usinalp
39,ETABLISSEMENTS GRAYEL & FILS,https://fr.linkedin.com/company/etablissements-grayel-&-fils
40,GROUPE KEPRA,https://fr.linkedin.com/company/groupe-kepra
41,TECHNIBAG,https://www.linkedin.com/company/technibag
42,GGB FRANCE  E.U.R.L.,https://fr.linkedin.com/company/ggb-france-e.u.r.l.
43,TECHNO MAP,https://fr.linkedin.com/company/techno-map
44,SOULIER LPM,https://www.linkedin.com/company/soulier-lpm/
45,TORBEL INDUSTRIE,https://www.linkedin.com/company/torbel-industrie
46,EXOSUN,https://fr.linkedin.com/company/exosun
47,FLOWBIRD GROUP,https://be.linkedin.com/company/flowbird-group
48,GROUPE GILO INVEST,https://be.linkedin.com/company/groupe-gilo-invest
49,ANDRE LAURENT SAS,https://www.linkedin.com/company/andre-laurent-sas
50,POMMIER,https://fr.linkedin.com/company/pommier
51,GERFLOR,https://fr.linkedin.com/company/gerflor
52,COMETE - GROUPE FAYAT,https://fr.linkedin.com/company/comete-fayat-group
53,GROUPE ADF,https://be.linkedin.com/company/adf-group-inc
54,SDMS LA CHAUDRONNERIE BLANCHE,https://fr.linkedin.com/company/sdms-la-chaudronnerie-blanche
55,EUROTECH,https://fr.linkedin.com/company/eurotech
56,CLESSE INDUSTRIES,https://fr.linkedin.com/company/clesse-industrie
57,JOHNSON CONTROL,https://be.linkedin.com/company/johnson-controls
58,TITEFLEX EUROPE,https://fr.linkedin.com/company/titeflex-europe
59,REEL,https://fr.linkedin.com/company/reel
60,TERREAL,https://fr.linkedin.com/company/terreal
61,CMI MAINTENANCE EST,https://fr.linkedin.com/company/cmi-maintenance-est
62,FLEXITECH,https://fr.linkedin.com/company/flexitech-inc
63,SODIMATE,https://fr.linkedin.com/company/sodimate
64,TUBAO SAS,https://fr.linkedin.com/company/tubao
65,BAUDIN CHATEAUNEUF,https://fr.linkedin.com/company/baudin-chateauneuf
66,SAH LEDUC,https://fr.linkedin.com/company/sah-leduc
67,SIDEM,https://fr.linkedin.com/company/sidem
68,DEVILLE RECTIFICATION,https://fr.linkedin.com/company/deville-rectification
69,BUFAB,https://fr.linkedin.com/company/bufab
70,AGRATI GROUP,https://www.linkedin.com/company/agrati-group
71,BERTRAND POLICO,https://fr.linkedin.com/company/bertrand-polico
